Loja,Categoria,Sub Categoria,Distância,Nota,Contagem de Votos,Ifood Delivery,Novo,Super Restaurante,Rastreamento,Pedido Mínimo,CNPJ,Cidade,Telefone,CEP,Bairro,Rua,Número,Latitude,Longitude,Segunda-feira,Terça-feira,Quarta-feira,Quinta-feira,Sexta-feira,Sábado,Domingo
Wakame Oriental Food,RESTAURANT,Comida Japonesa,6.63,0,0,false,true,false,false,14, 37.729.354/0001-81,VOLTA REDONDA,999549527,27258170,Jardim Belvedere,Rua Bouganville,223,-22.53438,-44.072406,,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,
Tai' Na Chapa,RESTAURANT,Carnes,1.25,0,0,false,true,false,false,0, 37.734.439/0001-58,VOLTA REDONDA,998250743,27276320,Açude,Rua Quinze,147,-22.495405,-44.13602,11:00:00 - 15:00:00,,,11:00:00 - 15:00:00,11:00:00 - 15:00:00,,18:00:00 - 21:00:00
Jm Doces,RESTAURANT,Doces & Bolos,7.93,0,0,true,true,false,true,10, 28.103.897/0001-06,VOLTA REDONDA,998752984,27240010,Vila Rica,Rua Votorantim,7,-22.498148,-44.047522,10:00:00 - 22:00:00,10:00:00 - 22:00:00,10:00:00 - 22:00:00,16:00:00 - 22:00:00,15:00:00 - 23:00:00,10:00:00 - 23:00:00,
Amo Doce,RESTAURANT,Doces & Bolos,0.75,0,0,true,true,false,true,10, 38.306.142/0001-54,VOLTA REDONDA,999477365,27275262,Retiro,Avenida Retiro,3133,-22.502047,-44.117944,,,,,,,14:00:00 - 20:00:00
Restaurante Da Lu,RESTAURANT,Comida Brasileira,5.97,0,0,true,true,false,true,20, 28.145.689/0001-61,BARRA MANSA,40032665,27325810,Vila Orlandelia,Rua Francisco Alves,111,-22.53975,-44.162849,11:00:00 - 14:00:00,11:00:00 - 14:00:00,11:00:00 - 14:00:00,11:00:00 - 14:00:00,11:00:00 - 14:00:00,11:00:00 - 14:00:00,
Prime Burguer,RESTAURANT,Lanches,1.81,5,2,true,true,false,true,20, 37.346.352/0001-03,VOLTA REDONDA,981172366,27280000,Vila Brasília,Avenida Nova Brasília,404,-22.489905,-44.110114,18:00:00 - 23:59:00,00:00:00 - 23:59:00,17:45:00 - 23:59:00,18:00:00 - 23:59:00,18:00:00 - 23:59:00,18:00:00 - 23:59:00,15:00:00 - 23:59:00
La Pizzas,RESTAURANT,Pizza,2.85,0,0,false,true,false,false,0, 38.215.585/0001-30,VOLTA REDONDA,998713470,27273510,Siderlândia,Rua Cabo Frio,107,-22.521246,-44.139003,,,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00
Village Pub,RESTAURANT,Comida Brasileira,4.52,0,0,true,true,false,true,20, 33.613.598/0001-43,VOLTA REDONDA,40032665,27251260,Jardim Amália,Rua Doutor Miguel Couto,14,-22.510461,-44.082371,,,,19:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00
Empadas Premium,RESTAURANT,Salgados,4.27,0,0,true,true,false,true,10, 30.327.801/0001-27,VOLTA REDONDA,998161697,27253125,Monte Castelo,Praça Monte Castelo,57,-22.524104,-44.092912,16:45:00 - 21:45:00,16:45:00 - 21:45:00,16:45:00 - 21:45:00,16:45:00 - 21:45:00,16:45:00 - 21:45:00,,
El Choripan,RESTAURANT,Lanches,5.63,0,0,true,true,false,true,20, 31.509.809/0001-77,VOLTA REDONDA,40032665,27210440,Santo Agostinho,Rua Marília,70,-22.491025,-44.070606,11:00:00 - 15:00:00,18:00:00 - 23:00:00,18:00:00 - 23:59:00,11:00:00 - 15:00:00,18:00:00 - 23:59:00,18:00:00 - 23:59:00,11:00:00 - 15:00:00
Conexao Bar E Lanchonete,RESTAURANT,Lanches,1.28,0,0,false,true,false,false,15, 30.464.958/0001-02,VOLTA REDONDA,40030053,27274030,Belmonte,Av Pernambuco,301,-22.51012,-44.128885,,17:30:00 - 23:30:00,17:00:00 - 23:15:00,17:00:00 - 23:15:00,17:00:00 - 23:15:00,17:00:00 - 23:15:00,17:00:00 - 23:15:00
Quintal Do Frango Vr,RESTAURANT,Carnes,5.73,0,0,false,true,false,false,15, 39.288.024/0001-23,VOLTA REDONDA,992528045,27257040,Siderópolis,Rua Seiscentos E Quarenta E Cinco,199,-22.535651,-44.085022,,,,,,,09:00:00 - 10:00:00
Doceria Pedaços De Amor,RESTAURANT,Doces & Bolos,3.28,0,0,true,true,false,true,10, 38.824.506/0001-98,VOLTA REDONDA,40032665,27262570,São Lucas,Rua Fagundes Varela,99,-22.527459,-44.115004,10:00:00 - 17:00:00,10:00:00 - 17:00:00,10:00:00 - 22:30:00,10:00:00 - 17:00:00,10:00:00 - 17:00:00,,
Labogho,RESTAURANT,Lanches,3.21,4.5,2,true,true,false,true,20, 39.392.185/0001-62,VOLTA REDONDA,40032665,27283440,Niteroi,Rua Santa Alzira,48,-22.49769,-44.09341,11:30:00 - 22:00:00,11:30:00 - 22:00:00,11:30:00 - 22:00:00,11:30:00 - 22:00:00,11:30:00 - 22:00:00,11:30:00 - 22:00:00,
